"","ACTIVITY_TREATMENT_UNIT_ID","OPENING_ID","AREA","SPECIES","NUMBER_PLANTED","SEEDLOT_NUMBER","PLANTING_DATE","REGION","DISTRICT","YEAR","BGC","Zone","Subzone"
"4048",671304,17000,10.4,"BA",2800,35026,1994-05-01,"RSK","DKM",1994,"CWHvh","CWH","vh"
"4049",412747,49739,30,"BA",20695,43076,1998-05-01,"RSK","DKM",1998,"CWHws","CWH","ws"
"4050",2976032,1456892,7.7,"BA",2625,41423,2013-04-24,"RSK","DKM",2013,"CWHws","CWH","ws"
"4051",3586469,1685805,21,"BL",2780,40024,2017-09-05,"RSK","DSS",2017,"CWHws","CWH","ws"
"4052",274875,-223500000,12.1,"BA",4425,43070,1997-09-11,"RSK","DKM",1997,"CWHws","CWH","ws"
"4053",3492143,1660140,26.9,"BL",4725,53508,2017-06-21,"ROM","DPG",2017,"SBSvk","SBS","vk"
"4054",3338027,1562437,17.2,"BL",4780,47716,2015-06-03,"RSK","DND",2015,"SBSmc","SBS","mc"
"4055",3551230,1682029,12.7,"BA",6905,41424,2018-09-16,"RSK","DKM",2018,"CWHws","CWH","ws"
"4056",411141,28564,10.4,"BL",5700,32732,1997-05-01,"RSK","DKM",1997,"ICHmc","ICH","mc"
"4057",727877,-220250000,1.3,"BL",1100,32732,1998-05-21,"RSK","DKM",1998,"ICHmc","ICH","mc"
"4058",727877,-220250000,1.3,"BL",300,39583,1998-05-21,"RSK","DKM",1998,"ICHmc","ICH","mc"
"4059",2161134,1111930,22.5,"BL",4050,32367,2008-07-07,"RSK","DND",2008,"SBSmc","SBS","mc"
"4060",2321603,1187431,1.4,"BL",320,43678,2009-06-06,"RSK","DSS",2009,"SBSmc","SBS","mc"
"4061",672356,72889,1.9,"BA",75,40449,1999-06-01,"RSK","DKM",1999,"CWHvm","CWH","vm"
"4062",672356,72889,1.9,"BA",402,47460,1999-06-01,"RSK","DKM",1999,"CWHvm","CWH","vm"
"4063",260473,61243,23.5,"BL",3375,NA,2000-06-28,"RSK","DSS",2000,"SBSmc","SBS","mc"
"4064",2220504,-222670000,10.7,"BL",4605,39590,2008-06-15,"RSK","DKM",2008,"ICHmc","ICH","mc"
"4065",3376291,1238510,27,"BA",30,40450,2016-05-06,"RSK","DKM",2016,"CWHvm","CWH","vm"
"4066",3376275,1238491,25.7,"BA",1890,40450,2016-05-10,"RSK","DKM",2016,"CWHvm","CWH","vm"
"4067",3376286,1238550,16.7,"BA",1095,40450,2016-05-09,"RSK","DKM",2016,"CWHvm","CWH","vm"
"4068",482211,54320,1.6,"BL",784,40408,1998-07-15,"RCB","DQU",1998,"ESSFwk","ESSF","wk"
"4069",494622,15615,10.4,"BL",2603,39609,1996-06-01,"RSK","DND",1996,"SBSmc","SBS","mc"
"4070",397675,28470,18,"BL",820,35017,1996-05-01,"RSK","DSS",1996,"ICHmc","ICH","mc"
"4071",397675,28470,18,"BL",200,35018,1996-05-01,"RSK","DSS",1996,"ICHmc","ICH","mc"
"4072",397675,28470,18,"BA",760,35007,1996-05-01,"RSK","DSS",1996,"ICHmc","ICH","mc"
"4073",399354,57928,19,"BL",3000,40005,1999-06-01,"RSK","DSS",1999,"ICHmc","ICH","mc"
"4074",399354,57928,19,"BL",14375,40005,1999-06-01,"RSK","DSS",1999,"ICHmc","ICH","mc"
"4075",273120,-452860000,8.9,"BL",3510,1840,1997-07-02,"RCB","DQU",1997,"SBSmw","SBS","mw"
"4076",408821,16879,12.2,"BA",2880,35561,1997-08-01,"RSK","DKM",1997,"CWHws","CWH","ws"
"4077",1721852,79145,14.8,"BA",2106,35026,2002-06-11,"RSK","DKM",2002,"CWHvh","CWH","vh"
"4078",2709698,1422162,21.2,"BL",5357,47714,2011-07-15,"RSK","DSS",2011,"SBSmc","SBS","mc"
"4079",2709698,1422162,21.2,"BL",2491,47714,2011-07-15,"RSK","DSS",2011,"SBSmc","SBS","mc"
"4080",3493337,1673542,47,"BL",4940,44993,2017-07-13,"RCB","DQU",2017,"ESSFwk","ESSF","wk"
"4081",412578,40512,11,"BA",4590,43077,1999-05-01,"RSK","DKM",1999,"CWHvm","CWH","vm"
"4082",412578,40512,11,"BA",120,43078,1999-05-01,"RSK","DKM",1999,"CWHvm","CWH","vm"
"4083",412578,40512,11,"BA",600,40449,1999-05-01,"RSK","DKM",1999,"CWHvm","CWH","vm"
"4084",412578,40512,11,"BA",564,47460,1999-05-01,"RSK","DKM",1999,"CWHvm","CWH","vm"
"4085",2095206,1069597,18.8,"BL",1080,43101,2007-09-15,"RSK","DKM",2007,"ICHvc","ICH","vc"
"4086",2095206,1069597,18.8,"BL",8640,43101,2007-09-15,"RSK","DKM",2007,"ICHvc","ICH","vc"
"4087",-219830018,-219830000,102,"BA",0,NA,1992-05-01,"RSK","DKM",1992,"CWHws","CWH","ws"
"4088",408680,16836,12.2,"BA",540,35000,1997-05-01,"RSK","DKM",1997,"CWHws","CWH","ws"
"4089",418451,43541,8.1,"BA",7620,35003,1996-05-01,"RSK","DKM",1996,"CWHws","CWH","ws"
"4090",397696,54190,26.9,"BA",1340,35007,1998-06-01,"RSK","DSS",1998,"CWHws","CWH","ws"
"4091",1796109,93520,89.7,"BL",33255,47450,2005-06-09,"RSK","DND",2005,"SBSmc","SBS","mc"
"4092",3230801,1543050,0.5,"BA",140,43070,2014-05-10,"RSK","DKM",2014,"CWHws","CWH","ws"
"4093",3312949,1646054,63.2,"BL",8160,47368,2015-06-01,"RSK","DND",2015,"SBSmc","SBS","mc"
"4094",3510796,1696483,5,"BA",1980,43070,2017-06-26,"RSK","DKM",2017,"CWHws","CWH","ws"
"4095",1735108,3246,26.9,"BL",13875,43004,2005-10-01,"RSK","DKM",2005,"ICHmc","ICH","mc"
"4096",1735108,3246,26.9,"BL",13770,43005,2005-10-01,"RSK","DKM",2005,"ICHmc","ICH","mc"
"4097",656009,56364,36.8,"BL",10640,40291,1998-07-01,"ROM","DPG",1998,"ESSFwk","ESSF","wk"
"4098",412807,56205,16.8,"BA",420,40449,1999-05-01,"RSK","DKM",1999,"CWHvm","CWH","vm"
"4099",412807,56205,16.8,"BA",5400,43077,1999-05-01,"RSK","DKM",1999,"CWHvm","CWH","vm"
"4100",2679879,1305950,53,"BL",13860,47716,2011-06-14,"RSK","DND",2011,"ESSFmc","ESSF","mc"
"4101",3543080,1674079,33,"BA",20720,39587,2018-06-10,"RSK","DKM",2018,"CWHvm","CWH","vm"
"4102",3543080,1674079,33,"BA",6010,40450,2018-06-10,"RSK","DKM",2018,"CWHvm","CWH","vm"
"4103",3512344,1650110,39.7,"BA",13488,36055,2017-10-06,"RSK","DKM",2017,"ICHmc","ICH","mc"
"4104",3512344,1650110,39.7,"BA",6849,36055,2017-10-06,"RSK","DKM",2017,"ICHmc","ICH","mc"
"4105",227697,-220780000,7,"BL",1000,39583,1996-05-14,"RSK","DKM",1996,"ICHvc","ICH","vc"
"4106",410852,28529,30,"BL",10665,32732,1996-06-01,"RSK","DKM",1996,"ICHmc","ICH","mc"
"4107",411201,28575,1,"BL",540,40024,1999-05-01,"RSK","DKM",1999,"ICHmc","ICH","mc"
"4108",399220,48511,6.3,"BA",3600,35006,1997-06-01,"RSK","DSS",1997,"CWHws","CWH","ws"
"4109",399220,48511,6.3,"BA",1140,35039,1997-06-01,"RSK","DSS",1997,"CWHws","CWH","ws"
"4110",934918,102524,1.5,"BL",560,32366,2002-06-01,"RSK","DSS",2002,"SBSmc","SBS","mc"
"4111",2501254,1226991,8.7,"BL",5280,47714,2010-07-02,"RSK","DND",2010,"SBSmc","SBS","mc"
"4112",3443198,1610295,55.4,"BA",26400,35560,2016-05-25,"RSK","DKM",2016,"MHmm","MH","mm"
"4113",776920,49303,5,"BL",2930,39583,2000-09-01,"RSK","DKM",2000,"ICHmc","ICH","mc"
"4114",325156,74495,28.4,"BL",19845,43004,2000-07-02,"RSK","DKM",2000,"ICHmc","ICH","mc"
"4115",3337693,1605515,3.8,"BL",980,47716,2015-05-20,"RSK","DSS",2015,"SBSmc","SBS","mc"
"4116",3337693,1605515,3.8,"BL",360,47716,2015-05-20,"RSK","DSS",2015,"SBSmc","SBS","mc"
"4117",1632574,106375,46.5,"BL",925,43010,2003-06-08,"RSK","DND",2003,"ESSFmc","ESSF","mc"
"4118",1632574,106375,46.5,"BL",1126,43011,2003-06-08,"RSK","DND",2003,"ESSFmc","ESSF","mc"
"4119",1632574,106375,46.5,"BL",6995,43011,2003-06-08,"RSK","DND",2003,"ESSFmc","ESSF","mc"
"4120",-403380025,-403380000,9,"BL",17000,NA,1989-09-01,"RSK","DSS",1989,"ESSFmc","ESSF","mc"
"4121",23416,-226110000,115,"BL",53420,39590,1997-07-10,"RSK","DKM",1997,"ICHvc","ICH","vc"
"4122",23416,-226110000,115,"BL",10270,39591,1997-07-10,"RSK","DKM",1997,"ICHvc","ICH","vc"
"4123",23416,-226110000,115,"BL",2430,39590,1997-07-10,"RSK","DKM",1997,"ICHvc","ICH","vc"
"4124",671968,62750,25,"BA",3782,40449,1998-05-01,"RSK","DKM",1998,"CWHvm","CWH","vm"
"4125",1781399,111924,0.5,"BA",540,47477,2005-06-16,"RSK","DKM",2005,"CWHvm","CWH","vm"
"4126",1659860,110991,3.7,"BA",585,40177,2003-05-01,"RSK","DKM",2003,"CWHvm","CWH","vm"
"4127",3554646,1683160,5.9,"BL",4590,39591,2018-06-16,"RSK","DSS",2018,"ICHwc","ICH","wc"
"4128",2807768,1390650,18.8,"BL",14040,43678,2012-06-07,"RSK","DND",2012,"SBSmc","SBS","mc"
"4129",-336940010,-336940000,23,"BA",0,NA,1992-05-01,"RSK","DKM",1992,"CWHwm","CWH","wm"
"4130",318391,42533,10.1,"BA",7995,35574,1998-06-04,"RSK","DSS",1998,"CWHws","CWH","ws"
"4131",2157031,86598,27.4,"BL",16740,35573,2008-06-24,"RSK","DSS",2008,"ICHmc","ICH","mc"
"4132",2852249,1242650,20.1,"BL",2580,47714,2012-07-08,"RSK","DND",2012,"SBSmc","SBS","mc"
"4133",74390,-220500000,18,"BA",9230,32638,1995-05-12,"RSK","DKM",1995,"ICHmc","ICH","mc"
"4134",409826,36535,18,"BL",180,39591,1996-05-01,"RSK","DKM",1996,"ICHmc","ICH","mc"
"4135",314555,70728,247.4,"BL",43845,43004,1999-09-28,"RSK","DKM",1999,"ICHmc","ICH","mc"
